id,number,type,title,body,text
30,30,task,Python строки 9,Соединение строк через join,Объединяем элементы списка через join
31,31,task,Python строки 10,Конкатенация через f-strings,Используем f-strings для объединения
32,32,task,Python строки 11,Объединение с форматированием,Форматируем и объединяем строки
33,33,task,Python списки 7,Добавление элементов в конец,Используем append для добавления
34,34,task,Python списки 8,Удаление последнего элемента,Используем pop() для удаления
35,35,task,Python списки 9,Фильтр по условию,Применяем list comprehension с условием
36,36,task,Python словари 5,Получение ключей словаря,Используем keys() для доступа
37,37,task,Python словари 6,Получение значений словаря,Используем values()
38,38,task,Python словари 7,Проверка наличия ключа,Используем in для проверки
39,39,task,Python множества 5,Удаление нескольких элементов,Используем discard или remove
40,40,task,Python множества 6,Объединение множеств через |=,Используем |= для union
41,41,task,Python множества 7,Пересечение множеств через &,Используем & для intersection
42,42,task,Python файлы 5,Запись нескольких строк,Используем writelines()
43,43,task,Python файлы 6,Чтение построчно,Используем readline() и readlines()
44,44,task,Python функции 5,Определение функций с return,Возвращаем значение через return
45,45,task,Python функции 6,Использование *args,Передаем любое количество аргументов
46,46,task,Python функции 7,Использование **kwargs,Передаем именованные аргументы
47,47,task,Python строки 12,Замена подстроки,Используем replace()
48,48,task,Python строки 13,Разделение по символу,Используем split() с аргументом
49,49,task,Python строки 14,Удаление пробелов,Используем strip()
50,50,task,Python списки 10,Сортировка с key,Применяем sorted() с ключом
51,51,task,Python списки 11,Объединение списков,Используем + или extend()
52,52,task,Python словари 8,Удаление ключа,Используем del или pop()
53,53,task,Python множества 8,Добавление нескольких элементов,Используем update()
54,54,task,Python множества 9,Проверка подмножества,Используем issubset()
55,55,task,Python файлы 7,Чтение JSON,Используем json.load()
56,56,task,Python файлы 8,Запись JSON,Используем json.dump()
59,57,task,Python функции 8,Анонимные функции,Используем lambda
